INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;75
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;50
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;50
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;64
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Hombre;2019;1;368
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Hombre;2019;2;168
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Mujer;2019;1;589
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Mujer;2019;2;266
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;312
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;172
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;48
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;32
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;153
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;82
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;19
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;211
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;145
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;192
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;118
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;230
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;95
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;22
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;66
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;41
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;35
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;16
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;20
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;92
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;49
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Hombre;2019;1;35
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Hombre;2019;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Mujer;2019;1;84
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Mujer;2019;2;42
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;76
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;64
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;23
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Hombre;2019;2;28
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Mujer;2019;2;67
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;NUTRICION Y DIETETICA;Ciencias de la salud;Hombre;2019;1;20
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;NUTRICION Y DIETETICA;Ciencias de la salud;Hombre;2019;2;12
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;NUTRICION Y DIETETICA;Ciencias de la salud;Mujer;2019;1;72
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;NUTRICION Y DIETETICA;Ciencias de la salud;Mujer;2019;2;46
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;67
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;32
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;24
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA CIVIL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;7
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;1;13
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Hombre;2019;2;10
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;1;19
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Mujer;2019;2;9
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Hombre;2019;1;8
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Hombre;2019;2;6
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;ENFERMERIA;Ciencias de la salud;Mujer;2019;1;48
