INSTITUCIÓN DE EDUCACIÓN SUPERIOR (IES);SECTOR IES;CARACTER IES;MUNICIPIO DE DOMICILIO DE LA IES;PROGRAMA ACADÉMICO;ÁREA DE CONOCIMIENTO;METODOLOGIA;SEXO;AÑO;SEMESTRE;MATRICULADOS 
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;QUIMICA INDUSTRIAL;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;1;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA FISICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;1
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;5
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;2
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;22
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;1;6
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;24
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERÍA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;27
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TECNOLOGIA EN RADIOLOGIA E IMAGENES DIAGNOSTICAS;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;12
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;FISIOTERAPIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;15
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;INSTRUMENTACION QUIRURGICA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;1;23
CORPORACION INSTITUTO DE ADMINISTRACION Y FINANZAS - CIAF;PRIVADA;INSTITUCIÓN TÉCNICA PROFESIONAL;PEREIRA;TÉCNICA PROFESIONAL EN DESARROLLO DE APLICACIONES PARA MÓVILES;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;13
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;29
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;67
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;28
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;11
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;12
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;MICROBIOLOGÍA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;MUJER;2019;1;19
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;17
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA COMERCIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;12
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA QUIMICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;1
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;9
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERÍA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;25
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;32
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERÍA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;17
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;ARQUITECTURA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;21
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;TECNOLOGIA EN SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;2
UNIVERSIDAD CATOLICA DE PEREIRA;PRIVADA;UNIVERSIDAD;PEREIRA;TECNOLOGIA EN SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;5
FUNDACION UNIVERSITARIA DEL AREA ANDINA;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;PEREIRA;TERAPIA RESPIRATORIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;4
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS Y COMPUTACION;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;70
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TÉCNICO PROFESIONAL EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA MECANICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;7
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;3
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;14
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA CIVIL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;19
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;6
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;HOMBRE;2019;1;9
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA AMBIENTAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;INGENIERIA DE SISTEMAS;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;1
CORPORACION UNIVERSITARIA DE SANTA ROSA DE CABAL-UNISARC-;PRIVADA;INSTITUCIÓN UNIVERSITARIA/ESCUELA TECNOLÓGICA;SANTA ROSA DE CABAL;BIOLOGIA;MATEMÁTICAS Y CIENCIAS NATURALES;PRESENCIAL;HOMBRE;2019;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;93
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA ELECTRICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;2;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;2;36
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;16
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;36
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;INGENIERÍA EN MECATRÓNICA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;UNIVERSIDAD;PEREIRA;TECNOLOGIA INDUSTRIAL;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;MUJER;2019;1;33
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;ENFERMERIA;CIENCIAS DE LA SALUD;PRESENCIAL;MUJER;2019;2;28
UNIVERSIDAD LIBRE;PRIVADA;UNIVERSIDAD;PEREIRA;INGENIERIA FINANCIERA;INGENIERÍA, ARQUITECTURA, URBANISMO Y AFINES;PRESENCIAL;HOMBRE;2019;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;54
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;11
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;50
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;20
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;32
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;4
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA QUIMICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Hombre;2020;1;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Hombre;2020;2;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Mujer;2020;1;12
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;MEDICINA;Ciencias de la salud;Presencial;Mujer;2020;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;23
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;87
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA DE SISTEMAS Y COMPUTACION;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;9
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;18
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;75
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;7
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;47
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;130
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;56
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA INDUSTRIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;106
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;35
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;66
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA MECANICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;8
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;36
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA FISICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Hombre;2020;1;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Hombre;2020;2;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Mujer;2020;1;23
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;QUIMICA INDUSTRIAL;Matemáticas y ciencias naturales;Presencial;Mujer;2020;2;34
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;6
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;19
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERIA ELECTRONICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;2
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;21
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;INGENIERÍA MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;14
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;16
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;37
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;1
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TÉCNICO PROFESIONAL EN MECATRÓNICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;3
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Hombre;2020;1;7
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Hombre;2020;2;10
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Mujer;2020;1;15
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGÍA EN ATENCIÓN PREHOSPITALARIA;Ciencias de la salud;Presencial;Mujer;2020;2;26
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;17
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;36
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;5
UNIVERSIDAD TECNOLOGICA DE PEREIRA - UTP;OFICIAL;Universidad;Pereira;TECNOLOGIA ELECTRICA;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;9
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;1;2
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Hombre;2020;2;8
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;1;8
UNIVERSIDAD LIBRE;PRIVADA;Universidad;Pereira;INGENIERIA COMERCIAL;Ingeniería, arquitectura, urbanismo y afines;Presencial;Mujer;2020;2;10
